#site,A,D0,gamma,k,t0
acute_myeloid_leukemia_aml,0.5583781850796176,88461.39862034225,1.4515092275938772,-0.9999999999918529,84.16085770686898
chronic_myeloid_leukemia_cml,10.910649924089334,98161.35452164819,0.4151610101150077,-0.24938773832749508,87.60179996284265
chronic_lymphocytic_leukemia_cll,7.598263830256124e-07,72964.8636950476,5.280492041231416,-0.12930541704026913,66.02577523874203
diffuse_large_b_cell_lymphoma_dlbcl,0.1311959595752127,103583.79051856285,1.8787975049066785,-0.5634773931207996,84.48948907846227
follicular_lymphoma,1.8444222033561975e-05,290530.11556524003,3.5718575861313813,-0.09153761772421373,75.51880015694285
multiple_myeloma,8.536461795124946e-07,118430.35386160415,4.871141919291739,-0.11070703063276303,70.29248323575187
colorectal_adenocarcinoma_mss,0.00013965450007183826,127902.39529236929,4.0573056257617806,-0.06679715065002696,62.79025615565547
gastric_adenocarcinoma,2.3746313513361637,53454.420125435056,1.8135958247782644,-0.14545892586598266,76.91045827303873
pancreatic_adenocarcinoma,2.4145037785168145e-09,178356.77637845368,6.202046575018085,-0.12079483807347893,69.0009287705938
lung_adenocarcinoma,8.050646398999628e-10,359014.9187289788,6.445277237479946,-0.1355019157911941,72.77528823702596
lung_squamous_cell_carcinoma,1.572548875054729e-08,65367.41925445537,6.449362216510787,-0.19758491743721646,70.75222939310844
small_cell_lung_carcinoma,2.2867318764429877e-12,288297.9724688366,7.751111418327226,-0.15892079442677853,67.14368544368186
kidney_chromophobe_carcinoma,0.02171087130303195,95161.48053909607,1.9269762684205876,-0.1561504351286046,73.76677243250082
kidney_clear_cell_carcinoma,0.20331728242171854,65435.60423329426,2.47484509384316,-0.14987003766150417,69.39910242620904
kidney_papillary_carcinoma,431.0937317849342,33203.29211341644,1.1610166121100352,-0.22605387814269157,68.33786995904576
malignant_gliomas_astrocytic_tumors,0.9751920155549629,91724.06739894804,1.378566811258982,-0.22828170055781696,80.55110193830347
melanoma_of_skin,88.57890782322977,67056.13748957081,0.9560172376435263,-0.14695848954800578,79.32845523716873
soft_tissue_sarcomas,4.450688996701533,93089.45349459442,0.7303423022010055,-0.2779249547686657,86.0995286303509
